The Mombasa Hospital -4.063901974329411, 39.68011034998765 Makadara
Changamwe Hospital -4.028710811362481, 39.616648044905965 Changamwe
The Mombasa Hospital -4.063730744557742, 39.680367842064356 Kizingo
Bomu Hospital -4.026313487125465, 39.61733469044384 Magongo
Nyali Bridge Hospital -4.042257594425209, 39.67250758619031 Lights/Kongowea
Coast General Teaching & Referral Hospital -4.048196348670781, 39.674115655956534 Makadara/Mkomani
MEWA Hospital -4.052621744969794, 39.662390894692166 Kaloleni
THE ZAMBEZI HOSPITAL MOMBASA BRANCH -4.03910485053795, 39.666587315423286 Tudor
Belmo Hospital -4.029115557478277, 39.632149768591226 Changamwe
Salaam Hospital -4.048367581734465, 39.674115655956534 Tononoka
Ganjoni Hospital -4.063426967935152, 39.65958819323405 Ganjoni
Montana Hospital -4.016138540094087, 39.686941837106204 Kisauni
Mombasa Cancer Centre -4.065821022292919, 39.67015398968882  Ngomani
Gertrudes Childrens Hospital-Mombasa(Nyali) -4.031988993927869, 39.71176859497921 Nyali
Makupa Hospital -4.052881378539296, 39.66127509569297 Makupa
Al-Farooq Hospital -4.0493611542384755, 39.664698459537284 Likoni
Nyali Childrens Hospital -4.039972538289562, 39.705005487057576 Nyali
Tudor District Hospital -4.040688772765492, 39.66417753227084 Tudor
PREMIER HOSPITAL -4.034643155389056, 39.708592859366554 Nyali
Aga Khan Hospital Doctors Plaza -4.068415112825349, 39.66896222460789 Mbaraki
